ERLANG;TOTAL VOLUME;BPR;BPS;BPSK;QPSK;QAM8;QAM16;QAM32;QAM64
300;15998110,00000;0,13524;0,00333;29381,41905;100555,89524;34012,66905;1748,76667;42,25000;0,00000
400;15988060,00000;0,15488;0,01213;23522,53333;79681,80000;50062,80000;6731,61667;712,25000;1,00000
500;15972620,00000;0,16352;0,02472;19108,76667;65655,80000;58118,50000;11633,93333;2507,00000;3,00000
600;15978770,00000;0,16960;0,03752;15869,43333;54951,58333;62362,81667;16080,33333;4814,33333;13,50000
700;15982260,00000;0,17425;0,04921;13721,93333;46068,43333;62431,98333;21164,11667;7097,03333;28,50000
