ERLANG;TOTAL VOLUME;BPR;BPS;BPSK;QPSK;QAM8;QAM16;QAM32;QAM64
300;15998110,00000;0,00000;0,00000;25527,17381;75880,90476;73207,37143;10710,07143;145,47857;0,00000
400;15988060,00000;0,00000;0,00000;13810,73016;54771,19563;69768,72302;41641,20913;5033,61111;73,53095
500;15972620,00000;0,00000;0,00001;7275,39217;38597,50390;60635,91576;54461,15602;23284,35794;619,67421
600;15978770,00000;0,00000;0,00033;2328,69293;20680,69597;64449,45148;51218,52897;43776,28077;2864,34989
700;15982260,00000;0,00000;0,02347;237,63941;3468,64532;25245,44085;62870,86892;81636,80892;9133,59658
