ERLANG;TOTAL VOLUME;BPR;BPS;BPSK;QPSK;QAM8;QAM16;QAM32;QAM64
300;15998110,00000;0,13546;0,00284;29394,13571;100294,04524;34266,03571;1680,36667;37,41667;0,00000
400;15988060,00000;0,15456;0,01216;23091,78333;80272,50476;49961,20238;6757,59286;695,91667;0,00000
500;15972620,00000;0,16301;0,02451;19110,66667;65586,21667;58124,71667;11583,48333;2627,91667;4,00000
600;15978770,00000;0,16993;0,03754;15849,13333;55063,61667;61958,18333;16199,31667;4968,75000;13,00000
700;15982260,00000;0,17356;0,04965;13608,95000;46485,85000;62496,80000;20852,95000;7123,11667;21,33333
