ERLANG;TOTAL VOLUME;BPR;BPS;BPSK;QPSK;QAM8;QAM16;QAM32;QAM64
300;15998110,00000;0,02247;0,00059;40313,88333;103848,93333;36111,81667;3076,66667;175,70000;0,00000
400;15988060,00000;0,04226;0,00731;26277,72143;90113,04286;51365,10238;10630,13333;1603,00000;2,00000
500;15972620,00000;0,06159;0,02308;20436,98333;75299,16667;58473,31667;16943,58333;4002,45000;15,50000
600;15978770,00000;0,07757;0,04110;16799,03333;62536,45000;62637,71667;21721,73333;6642,23333;15,83333
700;15982260,00000;0,08835;0,05829;14498,03333;51243,88333;64845,05000;25406,58333;9001,61667;31,83333
