ERLANG;TOTAL VOLUME;BPR;BPS;BPSK;QPSK;QAM8;QAM16;QAM32;QAM64
300;15998110,00000;0,00734;0,00050;36782,54762;106839,00000;38004,45238;3117,08333;190,91667;0,00000
400;15988060,00000;0,02910;0,00961;24622,70000;89011,53333;55351,86667;11225,06667;1597,50000;1,33333
500;15972620,00000;0,05274;0,02608;20090,08333;72152,38333;62441,26667;17977,06667;4152,20000;13,00000
600;15978770,00000;0,07124;0,04512;17188,06667;58774,06667;65856,51667;23298,58333;6727,01667;17,75000
700;15982260,00000;0,08469;0,06280;14856,05000;48019,50000;66661,83333;27635,08333;9190,03333;29,50000
