ERLANG;TOTAL VOLUME;BPR;BPS;BPSK;QPSK;QAM8;QAM16;QAM32;QAM64
300;15998110,00000;0,08741;0,00094;34682,70000;109169,81667;27884,41667;963,73333;19,33333;0,00000
400;15988060,00000;0,11362;0,00593;23975,01667;91371,36667;46518,68333;5141,68333;343,25000;0,00000
500;15972620,00000;0,12934;0,01820;18583,01190;75429,64524;56215,62619;11195,01667;1672,70000;2,00000
600;15978770,00000;0,14089;0,03246;14837,05000;64360,28333;59574,90000;16657,76667;4039,16667;7,83333
700;15982260,00000;0,14832;0,04530;12659,75000;53418,03333;61261,56667;21270,98333;6798,16667;23,50000
